Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,cycle,epochs,eval-amount,eval-batch-size,experiment,input-size,learning-rate,optimizer,sample-rate,scaled-columns,seed,target-column,test-amount,test-batch-size,train-amount,train-batch-size,updates,used-columns,eval-accuracy,eval-balanced-accuracy,eval-fall-out,eval-false-negatives,eval-false-positives,eval-miss-rate,eval-precision,eval-recall,eval-selectivity,eval-true-negatives,eval-true-positives,test-accuracy,test-balanced-accuracy,test-fall-out,test-false-negatives,test-false-positives,test-miss-rate,test-precision,test-recall,test-selectivity,test-true-negatives,test-true-positives
2024-04-15 20:36:32,4.4min,c65bf779ae7043329c666bc2fa6b9407,federated-training-5-5,,,unknown,FINISHED,5,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,720000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81552,0.60287,0.04358,14958,3490,0.75068,0.58737,0.24932,0.95642,76584,4968,,,,,,,,,,,
2024-04-15 20:30:32,4.6min,5f401c3b39ea4d9abef19b099d481428,federated-training-5-4,,,unknown,FINISHED,4,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,720000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81572,0.59858,0.04041,15192,3236,0.76242,0.59398,0.23758,0.95959,76838,4734,,,,,,,,,,,
2024-04-15 20:24:32,4.8min,48f627691189422b899217b4141976d2,federated-training-5-3,,,unknown,FINISHED,3,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,720000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81782,0.59669,0.03567,15362,2856,0.77095,0.61509,0.22905,0.96433,77218,4564,,,,,,,,,,,
2024-04-15 20:19:12,4.3min,65da5b6daf034bc39b13ce9ad232c329,federated-training-5-2,,,unknown,FINISHED,2,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,720000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.82149,0.59753,0.03012,15439,2412,0.77482,0.65038,0.22518,0.96988,77662,4487,,,,,,,,,,,
2024-04-15 20:13:12,4.4min,871ca67398ab410c846a08403a3d5089,federated-training-5-1,,,unknown,FINISHED,1,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,720000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.82517,0.59525,0.02249,15682,1801,0.78701,0.70207,0.21299,0.97751,78273,4244,,,,,,,,,,,
2024-04-15 20:10:51,2.0min,8fac1712317846d09d2eeac70fb2cc91,initial-training-5-1,,,unknown,FINISHED,1,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,100000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.8245,0.57794,0.01214,16578,972,0.83198,0.775,0.16802,0.98786,79102,3348,0.8245,0.57794,0.01214,16578,972,0.83198,0.775,0.16802,0.98786,79102,3348
2024-04-15 19:42:47,2.6min,278af3947e2f4beda1014e576f67f9e8,federated-training-4-5,,,unknown,FINISHED,5,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,360000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81032,0.59026,0.0386,7947,1537,0.78088,0.59198,0.21912,0.9614,38286,2230,,,,,,,,,,,
2024-04-15 19:38:08,3.9min,b2730b5e02bc426da2dad0185dceb9e7,federated-training-4-4,,,unknown,FINISHED,4,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,360000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.8175,0.59828,0.03199,7851,1274,0.77145,0.64611,0.22855,0.96801,38549,2326,,,,,,,,,,,
2024-04-15 19:34:07,2.9min,afd7c12a11a3475ea8128f279d9e45d5,federated-training-4-3,,,unknown,FINISHED,3,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,360000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.8197,0.59487,0.02594,7982,1033,0.78432,0.67999,0.21568,0.97406,38790,2195,,,,,,,,,,,
2024-04-15 19:30:47,2.1min,66c0850f9e0840f28c99bd6d5865ea55,federated-training-4-2,,,unknown,FINISHED,2,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,360000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.82412,0.59739,0.02021,7989,805,0.78501,0.73104,0.21499,0.97979,39018,2188,,,,,,,,,,,
