name,date,time,cpu-percent,ram-percent,ram-total-bytes,ram-free-bytes,ram-used-bytes,disk-total-bytes,disk-free-bytes,disk-used-bytes,network-sent-bytes,network-received-bytes,network-packets-sent,network-packets-received,network-packets-sending-errors,network-packets-reciving-errors,network-packets-outgoing-dropped,network-packets-incoming-dropped,cycle
system,2024-04-15-14:06:30.602990,1713189990.6030543,48.0,62.7,16650469376,2561605632,9162817536,370490241024,96270147584,255325175808,21095016,29534835,4776,4895,0,0,0,0,1
system,2024-04-15-14:06:40.604878,1713190000.6049395,32.5,62.5,16650469376,2589261824,9133789184,370490241024,96269828096,255325495296,21237730,29663996,5015,5132,0,0,0,0,1
system,2024-04-15-14:06:50.790951,1713190010.7910364,30.4,63.6,16650469376,2386833408,9320415232,370490241024,96253562880,255341760512,37371208,54722395,6197,6224,0,0,0,0,1
system,2024-04-15-14:07:00.603911,1713190020.6039767,34.2,63.9,16650469376,2325241856,9390174208,370490241024,96246177792,255349145600,44635189,54956188,6732,6617,0,0,0,0,1
system,2024-04-15-14:07:10.603412,1713190030.6035025,40.3,63.6,16650469376,2374590464,9340051456,370490241024,96245837824,255349485568,44806396,55113900,6980,6856,0,0,0,0,1
system,2024-04-15-14:07:20.605157,1713190040.6052353,34.2,64.6,16650469376,2196627456,9478070272,370490241024,96254754816,255340568576,45022256,63155087,7364,7339,0,0,0,0,1
system,2024-04-15-14:07:30.898971,1713190050.8990352,41.2,64.5,16650469376,2214977536,9451421696,370490241024,96254386176,255340937216,45213972,63323777,7616,7587,0,0,0,0,1
system,2024-04-15-14:07:41.090957,1713190061.0910094,30.6,65.8,16650469376,1975513088,9700151296,370490241024,96238137344,255357186048,61263383,71458312,8224,8075,0,0,0,0,1
system,2024-04-15-14:07:50.930712,1713190070.930757,21.2,65.2,16650469376,2056093696,9600282624,370490241024,96221851648,255373471744,77412221,71730243,8910,8502,0,0,0,0,1
system,2024-04-15-14:08:00.674870,1713190080.6749222,19.9,65.1,16650469376,2072924160,9595211776,370490241024,96221425664,255373897728,77637252,71935931,9184,8766,0,0,0,0,1
system,2024-04-15-14:08:10.658481,1713190090.6585689,55.1,65.2,16650469376,2065969152,9600901120,370490241024,96220848128,255374475264,77858984,72139248,9445,9017,0,0,0,0,1
system,2024-04-15-14:08:20.604717,1713190100.6047735,21.4,65.1,16650469376,2081030144,9584803840,370490241024,96220344320,255374979072,78182335,72442581,9846,9394,0,0,0,0,1
system,2024-04-15-14:08:30.603635,1713190110.603703,17.5,65.1,16650469376,2058096640,9591119872,370490241024,96211886080,255383437312,86433420,72799867,10978,10339,0,0,0,0,1
system,2024-04-15-14:08:40.602685,1713190120.602738,40.2,65.1,16650469376,2059399168,9588748288,370490241024,96211308544,255384014848,86705548,73052310,11264,10613,0,0,0,0,1
system,2024-04-15-14:08:50.605522,1713190130.6055741,31.2,64.8,16650469376,2109374464,9538863104,370490241024,96210755584,255384567808,86993297,73301824,11544,10884,0,0,0,0,1
system,2024-04-15-14:09:00.602141,1713190140.6021953,50.0,67.0,16650469376,1721323520,9909391360,370490241024,96194306048,255401017344,110864275,89683482,12664,11851,0,0,0,0,1
system,2024-04-15-14:09:10.603850,1713190150.6039062,63.3,67.0,16650469376,1714311168,9898831872,370490241024,96177979392,255417344000,134734659,105863548,13952,12883,0,0,0,0,1
system,2024-04-15-14:09:20.605315,1713190160.6053975,48.8,67.9,16650469376,1522741248,10059366400,370490241024,96149041152,255446282240,135159266,106239378,14344,13252,0,0,0,0,1
system,2024-04-15-14:09:30.603249,1713190170.603306,37.2,67.7,16650469376,1562443776,10022891520,370490241024,96148496384,255446827008,135468731,106515627,14622,13526,0,0,0,0,1
system,2024-04-15-14:09:40.605262,1713190180.6053596,47.0,67.7,16650469376,1559195648,10025005056,370490241024,96147898368,255447425024,135824834,106838120,14923,13817,0,0,0,0,1
system,2024-04-15-14:09:50.602449,1713190190.6025136,32.1,67.6,16650469376,1578872832,10008326144,370490241024,96147369984,255447953408,136174718,107155079,15214,14097,0,0,0,0,1
system,2024-04-15-14:10:00.605008,1713190200.605061,43.2,67.5,16650469376,1588428800,10001895424,370490241024,96146857984,255448465408,136503900,107447088,15486,14367,0,0,0,0,1
system,2024-04-15-14:10:10.611530,1713190210.6116147,81.9,67.8,16650469376,1547653120,10053050368,370490241024,96158162944,255437168640,136883938,107794591,15792,14663,0,0,0,0,1
system,2024-04-15-14:10:20.602579,1713190220.602634,91.1,69.5,16650469376,1222103040,10338885632,370490241024,96145584128,255449739264,137298614,108177821,16123,14977,0,0,0,0,1
system,2024-04-15-14:10:30.601295,1713190230.6013665,76.8,69.7,16650469376,1191526400,10368147456,370490241024,96145043456,255450279936,137674913,108517948,16405,15246,0,0,0,0,1
system,2024-04-15-14:10:40.605429,1713190240.6055222,96.3,69.7,16650469376,1188626432,10369884160,370490241024,96144371712,255450951680,138053584,108857216,16696,15530,0,0,0,0,1
system,2024-04-15-14:10:50.607563,1713190250.6076496,88.6,69.7,16650469376,1186332672,10370998272,370490241024,96143769600,255451553792,138438526,109208216,16977,15801,0,0,0,0,1
system,2024-04-15-14:11:00.603032,1713190260.60315,73.3,69.7,16650469376,1185415168,10370633728,370490241024,96143040512,255452282880,138894341,109634942,17330,16134,0,0,0,0,1
system,2024-04-15-14:11:10.608236,1713190270.608323,85.0,69.8,16650469376,1173803008,10380505088,370490241024,96142290944,255453032448,139284278,109991535,17604,16398,0,0,0,0,1
system,2024-04-15-14:11:20.607358,1713190280.6074622,81.7,69.8,16650469376,1175916544,10377232384,370490241024,96141426688,255453896704,139768783,110437897,17939,16717,0,0,0,0,1
system,2024-04-15-14:11:30.604035,1713190290.604118,87.5,69.8,16650469376,1168896000,10386243584,370490241024,96140558336,255454765056,140158429,110795725,18214,16979,0,0,0,0,1
system,2024-04-15-14:11:40.605663,1713190300.6057773,31.6,69.8,16650469376,1119866880,10393706496,370490241024,96114405376,255480918016,140645842,111241704,18550,17304,0,0,0,0,1
system,2024-04-15-14:11:50.601163,1713190310.6012146,34.2,69.9,16650469376,1116512256,10395574272,370490241024,96113590272,255481733120,141118817,111702824,18877,17623,0,0,0,0,1
system,2024-04-15-14:12:00.605476,1713190320.6055267,30.4,69.9,16650469376,1112641536,10398105600,370490241024,96112795648,255482527744,141550369,112102483,19154,17899,0,0,0,0,1
system,2024-04-15-14:12:10.606150,1713190330.6062324,87.0,70.0,16650469376,1090633728,10399416320,370490241024,96111894528,255483428864,142001368,112483680,19438,18183,0,0,0,0,1
system,2024-04-15-14:12:20.608736,1713190340.608838,35.4,70.1,16650469376,1083322368,10404147200,370490241024,96120553472,255474769920,142714732,113164741,19932,18666,0,0,0,0,1
system,2024-04-15-14:12:30.603080,1713190350.6031468,33.3,70.3,16650469376,1057382400,10413662208,370490241024,96127979520,255467343872,143202376,113619415,20224,18954,0,0,0,0,1
system,2024-04-15-14:12:40.606087,1713190360.6061418,46.3,70.3,16650469376,1056010240,10417733632,370490241024,96125587456,255469735936,145129209,115501155,21123,19841,0,0,0,0,2
system,2024-04-15-14:12:50.606194,1713190370.6062696,69.9,70.8,16650469376,929730560,10485784576,370490241024,96125231104,255470092288,145306900,115634326,21377,20102,0,0,0,0,2
system,2024-04-15-14:13:00.608229,1713190380.6082842,26.2,71.2,16650469376,830705664,10573455360,370490241024,96101212160,255494111232,169331210,123781175,22370,20798,0,0,0,0,2
system,2024-04-15-14:13:10.607798,1713190390.6078787,35.4,71.3,16650469376,820699136,10577240064,370490241024,96100974592,255494348800,169556822,123958933,22678,21092,0,0,0,0,2
system,2024-04-15-14:13:20.602967,1713190400.603043,34.2,71.3,16650469376,820199424,10570747904,370490241024,96100659200,255494664192,169785911,124144173,22979,21377,0,0,0,0,2
system,2024-04-15-14:13:30.604842,1713190410.6049104,34.2,71.1,16650469376,846917632,10562027520,370490241024,96100397056,255494926336,170023286,124332354,23273,21662,0,0,0,0,2
system,2024-04-15-14:13:40.606117,1713190420.6061978,43.0,70.9,16650469376,887316480,10496397312,370490241024,96092196864,255503126528,178234988,132526874,24034,22319,0,0,0,0,2
system,2024-04-15-14:13:50.602713,1713190430.602782,16.7,70.7,16650469376,917401600,10497454080,370490241024,96091934720,255503388672,178481473,132726449,24316,22595,0,0,0,0,2
system,2024-04-15-14:14:00.602835,1713190440.602916,34.1,70.7,16650469376,914108416,10486435840,370490241024,96091570176,255503753216,178743707,132919968,24591,22869,0,0,0,0,2
system,2024-04-15-14:14:10.608896,1713190450.6089766,89.9,70.7,16650469376,918790144,10487341056,370490241024,96091209728,255504113664,179002232,133134448,24879,23149,0,0,0,0,2
system,2024-04-15-14:14:20.601245,1713190460.6013134,59.2,72.2,16650469376,665935872,10743554048,370490241024,96090730496,255504592896,202903730,149334246,26133,24264,0,0,0,0,2
system,2024-04-15-14:14:30.601993,1713190470.602061,27.7,71.4,16650469376,793382912,10617970688,370490241024,96090251264,255505072128,226761415,165470290,27347,25255,0,0,0,0,2
system,2024-04-15-14:14:40.606128,1713190480.6062138,70.5,72.0,16650469376,696274944,10714370048,370490241024,96089985024,255505338368,227028683,165685368,27609,25503,0,0,0,0,2
system,2024-04-15-14:14:50.604905,1713190490.6049702,36.7,73.2,16650469376,711090176,10930724864,370490241024,96061181952,255534141440,227351367,165962534,27936,25813,0,0,0,0,2
system,2024-04-15-14:15:00.602137,1713190500.6021938,37.2,73.2,16650469376,704651264,10935959552,370490241024,96060727296,255534596096,227671320,166222351,28230,26092,0,0,0,0,2
system,2024-04-15-14:15:10.607556,1713190510.6076527,87.1,73.5,16650469376,658685952,10981031936,370490241024,96060854272,255534469120,227985441,166496184,28537,26388,0,0,0,0,2
system,2024-04-15-14:15:20.602794,1713190520.6028755,70.0,74.2,16650469376,542785536,11095306240,370490241024,96059822080,255535501312,228333404,166784013,28848,26683,0,0,0,0,2
system,2024-04-15-14:15:30.607439,1713190530.6075373,68.4,74.2,16650469376,540463104,11096629248,370490241024,96059428864,255535894528,228648561,167039229,29110,26929,0,0,0,0,2
system,2024-04-15-14:15:40.609051,1713190540.6091409,97.6,74.2,16650469376,536592384,11099308032,370490241024,96058769408,255536553984,229030330,167371329,29453,27259,0,0,0,0,2
system,2024-04-15-14:15:50.607903,1713190550.607974,80.5,74.2,16650469376,532353024,11102322688,370490241024,96058171392,255537152000,229387317,167669840,29742,27532,0,0,0,0,2
system,2024-04-15-14:16:00.601417,1713190560.6015158,77.6,74.2,16650469376,536166400,11097387008,370490241024,96057593856,255537729536,229747518,167995177,30054,27835,0,0,0,0,2
