name,true-positives,false-positives,true-negatives,false-negatives,recall,selectivity,precision,miss-rate,fall-out,balanced-accuracy,accuracy,train-amount,test-amount,eval-amount,worker,cycle
logistic-regression-testing,891,275,15764,3070,0.22494,0.98285,0.76415,0.77506,0.01715,0.6039,0.83275,180000,20000,0,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-evaluation,2138,723,39212,7927,0.21242,0.9819,0.74729,0.78758,0.0181,0.59716,0.827,180000,0,50000,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-testing,982,418,15621,2979,0.24792,0.97394,0.70143,0.75208,0.02606,0.61093,0.83015,180000,20000,0,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-evaluation,2395,1088,38847,7670,0.23795,0.97276,0.68763,0.76205,0.02724,0.60535,0.82484,180000,0,50000,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-testing,985,545,15494,2976,0.24867,0.96602,0.64379,0.75133,0.03398,0.60735,0.82395,180000,20000,0,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-evaluation,2384,1393,38542,7681,0.23686,0.96512,0.63119,0.76314,0.03488,0.60099,0.81852,180000,0,50000,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-testing,1016,655,15384,2945,0.2565,0.95916,0.60802,0.7435,0.04084,0.60783,0.82,180000,20000,0,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-evaluation,2465,1693,38242,7600,0.24491,0.95761,0.59283,0.75509,0.04239,0.60126,0.81414,180000,0,50000,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-testing,1043,740,15299,2918,0.26332,0.95386,0.58497,0.73668,0.04614,0.60859,0.8171,180000,20000,0,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-evaluation,2558,1948,37987,7507,0.25415,0.95122,0.56769,0.74585,0.04878,0.60268,0.8109,180000,0,50000,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-testing,909,301,15693,3097,0.22691,0.98118,0.75124,0.77309,0.01882,0.60405,0.8301,180000,20000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-evaluation,2186,700,39344,7770,0.21957,0.98252,0.75745,0.78043,0.01748,0.60104,0.8306,180000,0,50000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-testing,971,426,15568,3035,0.24239,0.97337,0.69506,0.75761,0.02663,0.60788,0.82695,180000,20000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-evaluation,2360,1040,39004,7596,0.23704,0.97403,0.69412,0.76296,0.02597,0.60554,0.82728,180000,0,50000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-testing,1008,555,15439,2998,0.25162,0.9653,0.64491,0.74838,0.0347,0.60846,0.82235,180000,20000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-evaluation,2428,1352,38692,7528,0.24387,0.96624,0.64233,0.75613,0.03376,0.60506,0.8224,180000,0,50000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-testing,1010,671,15323,2996,0.25212,0.95805,0.60083,0.74788,0.04195,0.60508,0.81665,180000,20000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-evaluation,2444,1626,38418,7512,0.24548,0.95939,0.60049,0.75452,0.04061,0.60244,0.81724,180000,0,50000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-testing,1034,755,15239,2972,0.25811,0.95279,0.57798,0.74189,0.04721,0.60545,0.81365,180000,20000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-evaluation,2529,1840,38204,7427,0.25402,0.95405,0.57885,0.74598,0.04595,0.60403,0.81466,180000,0,50000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-testing,886,272,15704,3138,0.22018,0.98297,0.76511,0.77982,0.01703,0.60158,0.8295,180000,20000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-evaluation,2114,737,39255,7894,0.21123,0.98157,0.74149,0.78877,0.01843,0.5964,0.82738,180000,0,50000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-testing,975,428,15548,3049,0.2423,0.97321,0.69494,0.7577,0.02679,0.60775,0.82615,180000,20000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-evaluation,2371,1053,38939,7637,0.23691,0.97367,0.69246,0.76309,0.02633,0.60529,0.8262,180000,0,50000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-testing,1005,538,15438,3019,0.24975,0.96632,0.65133,0.75025,0.03368,0.60804,0.82215,180000,20000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-evaluation,2444,1347,38645,7564,0.2442,0.96632,0.64468,0.7558,0.03368,0.60526,0.82178,180000,0,50000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-testing,1013,638,15338,3011,0.25174,0.96007,0.61357,0.74826,0.03993,0.6059,0.81755,180000,20000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-evaluation,2440,1616,38376,7568,0.2438,0.95959,0.60158,0.7562,0.04041,0.6017,0.81632,180000,0,50000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-testing,1045,745,15231,2979,0.25969,0.95337,0.5838,0.74031,0.04663,0.60653,0.8138,180000,20000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
logistic-regression-evaluation,2523,1854,38138,7485,0.2521,0.95364,0.57642,0.7479,0.04636,0.60287,0.81322,180000,0,50000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
logistic-regression-testing,898,300,15828,2974,0.23192,0.9814,0.74958,0.76808,0.0186,0.60666,0.8363,180000,20000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
logistic-regression-evaluation,2204,714,39204,7878,0.21861,0.98211,0.75531,0.78139,0.01789,0.60036,0.82816,180000,0,50000,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
logistic-regression-testing,989,439,15689,2883,0.25542,0.97278,0.69258,0.74458,0.02722,0.6141,0.8339,180000,20000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
logistic-regression-evaluation,2431,1057,38861,7651,0.24112,0.97352,0.69696,0.75888,0.02648,0.60732,0.82584,180000,0,50000,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
logistic-regression-testing,989,582,15546,2883,0.25542,0.96391,0.62954,0.74458,0.03609,0.60967,0.82675,180000,20000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
logistic-regression-evaluation,2448,1361,38557,7634,0.24281,0.96591,0.64269,0.75719,0.03409,0.60436,0.8201,180000,0,50000,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
logistic-regression-testing,1022,680,15448,2850,0.26395,0.95784,0.60047,0.73605,0.04216,0.61089,0.8235,180000,20000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
logistic-regression-evaluation,2528,1623,38295,7554,0.25074,0.95934,0.60901,0.74926,0.04066,0.60504,0.81646,180000,0,50000,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
logistic-regression-testing,1052,782,15346,2820,0.27169,0.95151,0.57361,0.72831,0.04849,0.6116,0.8199,180000,20000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
logistic-regression-evaluation,2604,1858,38060,7478,0.25828,0.95345,0.58359,0.74172,0.04655,0.60587,0.81328,180000,0,50000,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
