name,action-time-start,action-time-end,action-total-seconds,cycle
check-workers,1713194041.3502498,1713194041.464571,0.11432,1
server-monitoring,1713194041.3535624,1713194041.5273433,0.17378,1
check-workers,1713194046.3505623,1713194046.397781,0.04722,1
model-pipeline,1713194046.3545358,1713194046.4470685,0.09253,1
check-workers,1713194052.2995594,1713194057.0911958,4.79164,1
server-monitoring,1713194046.3534482,1713194058.9008715,12.54742,1
update-pipeline,1713194046.3551285,1713194056.9379885,10.58286,1
system-monitoring,1713194046.3537664,1713194058.7429812,12.38921,1
aggregation-pipeline,1713194056.3854873,1713194060.3563159,3.97083,1
check-workers,1713194061.9134166,1713194063.2014413,1.28802,1
server-monitoring,1713194061.9139795,1713194063.24263,1.32865,1
check-workers,1713194066.4940505,1713194067.9598713,1.46582,1
server-monitoring,1713194066.710744,1713194068.3862596,1.67552,1
system-monitoring,1713194066.9376776,1713194069.0655677,2.12789,1
data-pipeline,1713194046.3542972,1713194069.1150806,22.76078,1
check-workers,1713194071.3505237,1713194071.391144,0.04062,1
server-monitoring,1713194071.3528173,1713194071.5478358,0.19502,1
check-workers,1713194076.3505938,1713194076.3964567,0.04586,1
data-pipeline,1713194076.3546832,1713194076.4860885,0.13141,1
server-monitoring,1713194076.3532498,1713194076.6255307,0.27228,1
system-monitoring,1713194076.3540828,1713194076.5658913,0.21181,1
check-workers,1713194081.3505192,1713194081.4579334,0.10741,1
server-monitoring,1713194081.3531408,1713194081.560608,0.20747,1
check-workers,1713194086.35056,1713194086.5042825,0.15372,1
system-monitoring,1713194086.3538783,1713194086.6667125,0.31283,1
server-monitoring,1713194086.353545,1713194086.625271,0.27173,1
check-workers,1713194091.3553982,1713194092.8579495,1.50255,1
server-monitoring,1713194091.3571794,1713194093.8187943,2.46161,1
server-monitoring,1713194096.351199,1713194098.42097,2.06977,1
check-workers,1713194096.3503077,1713194099.3886607,3.03835,1
system-monitoring,1713194096.3514721,1713194099.4602742,3.1088,1
check-workers,1713194101.810168,1713194102.1324706,0.3223,1
server-monitoring,1713194101.810581,1713194102.268947,0.45837,1
update-pipeline,1713194086.354129,1713194102.2829025,15.92877,1
check-workers,1713194106.3505063,1713194106.4527285,0.10222,1
server-monitoring,1713194106.3536496,1713194106.7105374,0.35689,1
system-monitoring,1713194106.3542132,1713194106.6608906,0.30668,1
aggregation-pipeline,1713194106.3574767,1713194106.54675,0.18927,1
data-pipeline,1713194106.354531,1713194106.5739245,0.21939,1
