name,action-time-start,action-time-end,action-total-seconds,cycle
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198189.0740995,1713198189.2699463,0.19585,1
start-pipeline,1713198189.061682,1713198190.5076637,1.44598,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198197.143357,1713198197.1886861,0.04533,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198197.1755042,1713198197.3226,0.1471,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198207.1472719,1713198207.2839932,0.13672,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198207.1771579,1713198207.3521392,0.17498,1
central-worker-data-split,1713198207.5864522,1713198216.7374666,9.15101,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198217.4651434,1713198218.7754974,1.31035,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198217.4696715,1713198218.7272227,1.25755,1
preprocess-into-train-test-and-evalute-tensors,1713198216.8302777,1713198219.4920003,2.66172,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198227.1411004,1713198227.261149,0.12005,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198227.1670732,1713198227.3322687,0.1652,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198237.1433647,1713198237.2627869,0.11942,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198237.173845,1713198237.3361285,0.16228,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198247.1525867,1713198247.2955346,0.14295,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198247.1747448,1713198247.327446,0.1527,1
split-data-between-workers,1713198247.585544,1713198253.1099126,5.52437,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198257.1434033,1713198257.2689002,0.1255,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198257.1721385,1713198257.34781,0.17567,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198267.181392,1713198267.3544278,0.17304,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198267.1769927,1713198267.328475,0.15148,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198277.1580262,1713198277.4524355,0.29441,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198277.184601,1713198277.3960328,0.21143,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198287.3863711,1713198287.979904,0.59353,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198287.3770957,1713198287.5041296,0.12703,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198297.1731904,1713198297.3029852,0.12979,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198297.1988823,1713198297.389343,0.19046,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198307.3240044,1713198307.4847653,0.16076,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198307.3633244,1713198307.5175972,0.15427,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198317.157766,1713198317.36955,0.21178,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198317.2049677,1713198317.8746915,0.66972,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198327.1531644,1713198327.2701914,0.11703,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198327.183944,1713198327.3064294,0.12249,1
initial-model-training,1713198267.5858045,1713198329.8943884,62.30858,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198337.142203,1713198337.2585218,0.11632,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198337.1695778,1713198337.319579,0.15,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198347.1664162,1713198347.2884045,0.12199,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198347.1418188,1713198347.3165283,0.17471,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198357.174032,1713198357.3310204,0.15699,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198357.1428444,1713198357.2670393,0.12419,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198367.1740012,1713198367.3047822,0.13078,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198367.1432269,1713198367.280432,0.13721,1
send-context-to-workers,1713198367.7649677,1713198377.1175306,9.35256,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198377.1448534,1713198377.2610307,0.11618,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198377.1637743,1713198377.3815467,0.21777,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198387.143474,1713198387.2929966,0.14952,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198387.1705747,1713198387.333607,0.16303,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198397.1468866,1713198397.2686372,0.12175,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198397.165751,1713198397.3431585,0.17741,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198407.1434906,1713198407.280315,0.13682,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198407.1786695,1713198407.3930776,0.21441,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198417.1446307,1713198417.2813845,0.13675,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198417.1738675,1713198417.3148115,0.14094,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198427.1454017,1713198427.2611449,0.11574,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198427.1682277,1713198427.3412855,0.17306,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198437.1693885,1713198437.3281882,0.1588,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198437.1428142,1713198437.2667537,0.12394,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198447.1433344,1713198447.3073654,0.16403,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198457.1476412,1713198457.227564,0.07992,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198457.1911035,1713198457.3073492,0.11625,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198467.2013133,1713198467.3234887,0.12218,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198467.4084067,1713198467.466335,0.05793,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198477.2114508,1713198477.3399227,0.12847,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198477.2679424,1713198477.4838567,0.21591,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198487.1788912,1713198487.3036516,0.12476,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198487.2391982,1713198487.3649607,0.12576,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198497.174597,1713198497.3053262,0.13073,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198497.1476526,1713198497.33958,0.19193,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198507.221081,1713198507.3421397,0.12106,1
