name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,cycle
server,2024-04-15-16:23:12.709492,1713198192.7095716,29.9,598306816,2561200128,126222336,4096,1252352000,0,0,586174464,86114304,2924544,54873314,2661027,1
server,2024-04-15-16:23:17.717119,1713198197.717197,39.7,404922368,2365599744,126222336,4096,1056751616,0,0,392781824,86114304,2928640,54891249,2661450,1
server,2024-04-15-16:23:22.705431,1713198202.7055213,19.5,404922368,2365616128,126222336,4096,1056768000,0,0,392794112,86114304,2928640,54897329,2661515,1
server,2024-04-15-16:23:27.719630,1713198207.7197254,69.3,404922368,2365616128,126222336,4096,1056792576,0,0,392822784,86114304,2932736,54915263,2661969,1
server,2024-04-15-16:23:38.552286,1713198218.55233,101.4,514723840,2428387328,127533056,4096,1185628160,0,0,500572160,86114304,2932736,54930140,2662676,1
server,2024-04-15-16:23:42.703772,1713198222.7038348,59.6,530567168,2513293312,130940928,4096,1198460928,0,0,518205440,86114304,2932736,54947122,2663119,1
server,2024-04-15-16:23:47.713417,1713198227.713488,49.3,529657856,2587746304,130940928,4096,1215856640,0,0,517242880,86114304,2932736,54965060,2663324,1
server,2024-04-15-16:23:52.707571,1713198232.707627,19.5,529657856,2587746304,130940928,4096,1215856640,0,0,517242880,86114304,2932736,54966839,2663324,1
server,2024-04-15-16:23:57.710567,1713198237.7106118,58.6,529657856,2587746304,130940928,4096,1215877120,0,0,517255168,86114304,2936832,54984777,2663694,1
server,2024-04-15-16:24:02.706326,1713198242.7063851,19.9,529657856,2587746304,130940928,4096,1215881216,0,0,517259264,86114304,2936832,54986556,2663694,1
server,2024-04-15-16:24:07.712529,1713198247.7125897,57.1,529657856,2587746304,130940928,4096,1215885312,0,0,517271552,86114304,2936832,55009840,2664045,1
server,2024-04-15-16:24:13.036090,1713198253.036157,109.6,787927040,2919116800,130940928,4096,1474600960,0,0,769896448,86114304,2936832,55011793,2664045,1
server,2024-04-15-16:24:17.720689,1713198257.7207794,39.6,787927040,2919100416,130940928,4096,1474584576,0,0,775639040,86114304,2940928,55029731,2664470,1
server,2024-04-15-16:24:22.720984,1713198262.7210617,19.6,787927040,2919100416,130940928,4096,1474584576,0,0,775639040,86114304,2940928,55031510,2664470,1
server,2024-04-15-16:24:27.725068,1713198267.7251415,66.8,651206656,2733502464,130940928,4096,1345859584,0,0,637112320,86114304,2940928,55049622,2664908,1
server,2024-04-15-16:24:32.905950,1713198272.9060142,149.0,750047232,2763939840,135528448,4096,1431351296,0,0,440774656,106987520,10874880,74208178,10584038,1
server,2024-04-15-16:24:38.163041,1713198278.163127,97.5,764518400,2983116800,141033472,4096,1476833280,0,0,751046656,107126784,10878976,74226119,10584328,1
server,2024-04-15-16:24:42.894950,1713198282.8949943,105.3,763822080,2982051840,141164544,4096,1475895296,0,0,751534080,107126784,10878976,74227901,10584414,1
server,2024-04-15-16:24:48.011610,1713198288.0116923,104.6,763940864,2982084608,141164544,4096,1475952640,0,0,751583232,107126784,10878976,74245842,10584568,1
server,2024-04-15-16:24:53.077217,1713198293.0772843,100.4,764989440,2983100416,141164544,4096,1476968448,0,0,752656384,107126784,10878976,74247624,10584944,1
server,2024-04-15-16:24:57.834280,1713198297.8343828,307.2,765120512,3058601984,141164544,4096,1495384064,0,0,752734208,107126784,10878976,74265565,10585400,1
server,2024-04-15-16:25:02.857625,1713198302.8577337,117.1,765120512,3058601984,141164544,4096,1495384064,0,0,752734208,107126784,10878976,74267347,10585400,1
server,2024-04-15-16:25:07.722376,1713198307.7224405,115.7,647081984,2991493120,141164544,4096,1431408640,0,0,634699776,107126784,10883072,74285288,10585691,1
server,2024-04-15-16:25:12.834991,1713198312.8350596,105.4,647081984,2991476736,141164544,4096,1431392256,0,0,634695680,107126784,10883072,74287070,10585862,1
server,2024-04-15-16:25:17.980644,1713198317.9807107,93.9,647081984,2991509504,141164544,4096,1431425024,0,0,634712064,107126784,10883072,74305013,10586015,1
server,2024-04-15-16:25:22.707280,1713198322.7073371,117.8,647344128,2991476736,141426688,4096,1431392256,0,0,635002880,107126784,10887168,74306798,10586397,1
server,2024-04-15-16:25:27.722575,1713198327.7226422,76.9,647475200,2991476736,141557760,4096,1431408640,0,0,635088896,107126784,10891264,74328570,10588668,1
server,2024-04-15-16:25:32.713197,1713198332.713251,19.9,653242368,2992545792,141950976,4096,1432461312,0,0,640704512,112357376,11026432,101134988,10712480,1
server,2024-04-15-16:25:37.710489,1713198337.7105556,10.0,653242368,2992545792,141950976,4096,1433473024,0,0,640770048,112357376,11026432,101152933,10712685,1
server,2024-04-15-16:25:42.713603,1713198342.7136698,19.6,653242368,2992545792,141950976,4096,1433473024,0,0,640794624,112357376,11026432,101154719,10712685,1
server,2024-04-15-16:25:47.710520,1713198347.7105818,39.8,653242368,2992545792,141950976,4096,1433473024,0,0,640819200,112357376,11026432,101172664,10712890,1
server,2024-04-15-16:25:52.710840,1713198352.7108934,19.6,653242368,2992545792,141950976,4096,1433473024,0,0,640819200,112357376,11026432,101174450,10712890,1
server,2024-04-15-16:25:57.712159,1713198357.7122126,59.7,653242368,2992545792,141950976,4096,1433473024,0,0,640827392,112357376,11030528,101192395,10713260,1
server,2024-04-15-16:26:02.710790,1713198362.7108483,19.9,653242368,2992545792,141950976,4096,1433473024,0,0,640831488,112357376,11030528,101194181,10713260,1
server,2024-04-15-16:26:07.708792,1713198367.7088509,39.3,653242368,2992545792,141950976,4096,1433473024,0,0,640851968,112357376,11030528,101212126,10713465,1
