name,date,time,cpu-percent,ram-percent,ram-total-bytes,ram-free-bytes,ram-used-bytes,disk-total-bytes,disk-free-bytes,disk-used-bytes,network-sent-bytes,network-received-bytes,network-packets-sent,network-packets-received,network-packets-sending-errors,network-packets-reciving-errors,network-packets-outgoing-dropped,network-packets-incoming-dropped,cycle
system,2024-04-15-16:23:17.586449,1713198197.586576,72.2,54.2,16650469376,4252536832,7697178624,370490241024,95055532032,256539791360,24771603,33146299,5983,6130,0,0,0,0,1
system,2024-04-15-16:23:27.588303,1713198207.5883973,61.3,53.8,16650469376,4314206208,7679418368,370490241024,95055335424,256539987968,24892989,33247261,6176,6329,0,0,0,0,1
system,2024-04-15-16:23:38.129353,1713198218.1293936,13.3,54.6,16650469376,4167688192,7800954880,370490241024,95039270912,256556052480,40983276,58274676,7238,7328,0,0,0,0,1
system,2024-04-15-16:23:47.584808,1713198227.584877,11.2,54.7,16650469376,4147908608,7819403264,370490241024,95032115200,256563208192,48189067,58446532,7671,7636,0,0,0,0,1
system,2024-04-15-16:23:57.585059,1713198237.5851145,13.7,54.7,16650469376,4147650560,7819124736,370490241024,95031980032,256563343360,48328003,58565782,7870,7825,0,0,0,0,1
system,2024-04-15-16:24:07.585237,1713198247.5853066,14.1,54.8,16650469376,4124524544,7820947456,370490241024,95031746560,256563576832,48495162,58707513,8093,8041,0,0,0,0,1
system,2024-04-15-16:24:17.585047,1713198257.585124,13.7,56.5,16650469376,3827449856,8112635904,370490241024,95015747584,256579575808,64547924,66851810,8760,8597,0,0,0,0,1
system,2024-04-15-16:24:27.586829,1713198267.5868995,20.5,55.7,16650469376,3953139712,7978831872,370490241024,95015559168,256579764224,64707254,66991263,8960,8792,0,0,0,0,1
system,2024-04-15-16:24:37.647871,1713198277.6479328,27.6,56.3,16650469376,3814817792,8086138880,370490241024,95007424512,256587898880,64908385,75026272,9278,9213,0,0,0,0,1
system,2024-04-15-16:24:47.633088,1713198287.6331246,14.6,56.3,16650469376,3822612480,8089436160,370490241024,95007227904,256588095488,65068635,75166671,9469,9393,0,0,0,0,1
system,2024-04-15-16:24:57.585623,1713198297.585695,40.7,56.3,16650469376,3826020352,8071315456,370490241024,95006924800,256588398592,65294050,75372698,9745,9659,0,0,0,0,1
system,2024-04-15-16:25:07.588724,1713198307.588782,42.4,55.5,16650469376,3954819072,7954534400,370490241024,95006707712,256588615680,65487225,75547373,9959,9863,0,0,0,0,1
system,2024-04-15-16:25:17.799382,1713198317.7994375,13.7,55.5,16650469376,3948433408,7960379392,370490241024,95006494720,256588828672,65664203,75706115,10147,10043,0,0,0,0,1
system,2024-04-15-16:25:27.586748,1713198327.586817,54.2,55.6,16650469376,3944361984,7963541504,370490241024,95006093312,256589230080,65967478,75974590,10674,10561,0,0,0,0,1
system,2024-04-15-16:25:37.584195,1713198337.584259,11.8,55.7,16650469376,3906498560,7978319872,370490241024,94997725184,256597598208,74147338,76267963,11526,11211,0,0,0,0,1
system,2024-04-15-16:25:47.585186,1713198347.5852485,12.5,55.6,16650469376,3915288576,7977136128,370490241024,94997434368,256597889024,74367807,76460599,11733,11411,0,0,0,0,1
system,2024-04-15-16:25:57.586048,1713198357.586129,17.3,55.6,16650469376,3924766720,7967035392,370490241024,94997139456,256598183936,74594256,76659344,11938,11611,0,0,0,0,1
system,2024-04-15-16:26:07.589249,1713198367.5893126,7.7,55.6,16650469376,3925553152,7965347840,370490241024,94996795392,256598528000,74848525,76887665,12161,11833,0,0,0,0,1
system,2024-04-15-16:26:17.584275,1713198377.5843225,3.7,57.1,16650469376,3653271552,8220024832,370490241024,94980407296,256614916096,98713729,93099577,13304,12785,0,0,0,0,1
system,2024-04-15-16:26:27.588338,1713198387.588429,40.5,56.3,16650469376,3790692352,8082087936,370490241024,94980161536,256615161856,98964494,93318696,13515,12983,0,0,0,0,1
system,2024-04-15-16:26:37.584211,1713198397.5842679,12.7,57.3,16650469376,3602489344,8239349760,370490241024,94965485568,256629837824,99268123,93592317,13765,13222,0,0,0,0,1
system,2024-04-15-16:26:47.584838,1713198407.584896,12.8,57.3,16650469376,3609174016,8240603136,370490241024,94965096448,256630226944,99532350,93825656,13975,13430,0,0,0,0,1
system,2024-04-15-16:26:57.589962,1713198417.5900156,10.4,57.4,16650469376,3593719808,8255127552,370490241024,94964690944,256630632448,99828197,94091906,14204,13654,0,0,0,0,1
