name,epochs,batches,average-batch-size,action-time-start,action-time-end,action-total-seconds,worker,cycle
logistic-regression-training,10,5,360000.0,1713198450.91307,1713198509.3775477,58.46448,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-testing,0,313,63.89776357827476,1713198509.4827197,1713198510.677087,1.19437,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-evaluation,0,782,63.9386189258312,1713198510.816233,1713198513.6607153,2.84448,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-training,10,5,360000.0,1713198687.6180573,1713198745.3270144,57.70896,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-testing,0,313,63.89776357827476,1713198745.433107,1713198746.5481238,1.11502,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-evaluation,0,782,63.9386189258312,1713198746.7018533,1713198749.9139016,3.21205,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-training,10,5,360000.0,1713198927.5726285,1713198990.460789,62.88816,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-testing,0,313,63.89776357827476,1713198990.5061412,1713198991.7284515,1.22231,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-evaluation,0,782,63.9386189258312,1713198991.8125937,1713198994.6699936,2.8574,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-training,10,5,360000.0,1713199167.7595372,1713199236.1988633,68.43933,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-testing,0,313,63.89776357827476,1713199236.2534063,1713199238.158518,1.90511,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-evaluation,0,782,63.9386189258312,1713199238.3177867,1713199242.0368993,3.71911,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-training,10,5,360000.0,1713199407.6412797,1713199466.216435,58.57516,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-testing,0,313,63.89776357827476,1713199466.3136497,1713199468.0799148,1.76627,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-evaluation,0,782,63.9386189258312,1713199468.181623,1713199470.9042864,2.72266,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-training,10,5,360000.0,1713198450.9079714,1713198510.440842,59.53287,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-testing,0,313,63.89776357827476,1713198510.543548,1713198511.581,1.03745,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-evaluation,0,782,63.9386189258312,1713198511.7191525,1713198514.849029,3.12988,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-training,10,5,360000.0,1713198687.731929,1713198746.570862,58.83893,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-testing,0,313,63.89776357827476,1713198746.661078,1713198748.3060985,1.64502,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-evaluation,0,782,63.9386189258312,1713198748.4461322,1713198751.2951674,2.84904,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-training,10,5,360000.0,1713198927.662635,1713198992.8411112,65.17848,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-testing,0,313,63.89776357827476,1713198992.881226,1713198993.91689,1.03566,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-evaluation,0,782,63.9386189258312,1713198994.053055,1713198997.8944027,3.84135,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-training,10,5,360000.0,1713199167.679771,1713199239.6189995,71.93923,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-testing,0,313,63.89776357827476,1713199239.6668472,1713199241.3988323,1.73199,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-evaluation,0,782,63.9386189258312,1713199241.5506856,1713199245.5981627,4.04748,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-training,10,5,360000.0,1713199407.6712148,1713199469.1697464,61.49853,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
logistic-regression-testing,0,313,63.89776357827476,1713199469.275614,1713199470.2673192,0.99171,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
logistic-regression-evaluation,0,782,63.9386189258312,1713199470.408493,1713199473.3031685,2.89468,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
