name,action-time-start,action-time-end,action-total-seconds,worker,cycle
store-training-context,1713201199.6847436,1713201200.909921,1.22518,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
preprocess-into-train-test-and-evalute-tensors,1713201201.7554348,1713201207.9875016,6.23207,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
local-model-training,1713201231.7579901,1713201349.1986482,117.44066,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
store-training-context,1713201559.4577672,1713201559.5423613,0.08459,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
preprocess-into-train-test-and-evalute-tensors,1713201561.7552962,1713201568.7918835,7.03659,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
local-model-training,1713201591.7584066,1713201702.337058,110.57865,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
store-training-context,1713201878.7237213,1713201878.8711526,0.14743,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
preprocess-into-train-test-and-evalute-tensors,1713201891.7570267,1713201899.0730052,7.31598,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
local-model-training,1713201951.7580214,1713202081.5687609,129.81074,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
store-training-context,1713202238.8861115,1713202239.0224814,0.13637,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
preprocess-into-train-test-and-evalute-tensors,1713202251.7565827,1713202258.2192392,6.46266,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
local-model-training,1713202311.7580378,1713202440.1323166,128.37428,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
store-training-context,1713202599.0541203,1713202599.1912224,0.1371,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
preprocess-into-train-test-and-evalute-tensors,1713202611.757653,1713202618.4648664,6.70721,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
local-model-training,1713202671.758211,1713202797.2572637,125.49905,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
store-training-context,1713202872.140803,1713202872.2524796,0.11168,66e8acb0-574e-4392-a8ab-cdcb9fca760a,6
store-training-context,1713201209.0771375,1713201210.3541377,1.277,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
preprocess-into-train-test-and-evalute-tensors,1713201231.8559625,1713201238.6225867,6.76662,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
local-model-training,1713201291.8559942,1713201407.6640627,115.80807,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
store-training-context,1713201567.2780104,1713201567.6013706,0.32336,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
preprocess-into-train-test-and-evalute-tensors,1713201591.8551464,1713201599.2232332,7.36809,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
local-model-training,1713201651.8560627,1713201760.1639469,108.30788,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
store-training-context,1713201885.6246712,1713201885.816819,0.19215,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
preprocess-into-train-test-and-evalute-tensors,1713201891.855777,1713201898.671086,6.81531,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
local-model-training,1713201951.857248,1713202080.5053322,128.64808,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
store-training-context,1713202245.5000837,1713202245.6750712,0.17499,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
preprocess-into-train-test-and-evalute-tensors,1713202251.855634,1713202258.7358468,6.88021,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
local-model-training,1713202311.85682,1713202439.2596798,127.40286,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
store-training-context,1713202605.7324352,1713202605.8893683,0.15693,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
preprocess-into-train-test-and-evalute-tensors,1713202611.8562548,1713202618.746095,6.88984,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
local-model-training,1713202671.8572738,1713202797.2719257,125.41465,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
store-training-context,1713202872.5918746,1713202872.6739204,0.08205,e773520a-073e-4b2e-8f27-15275cfd8d4e,6
