Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,cycle,epochs,eval-amount,eval-batch-size,experiment,input-size,learning-rate,optimizer,sample-rate,scaled-columns,seed,target-column,test-amount,test-batch-size,train-amount,train-batch-size,updates,used-columns,eval-accuracy,eval-balanced-accuracy,eval-fall-out,eval-false-negatives,eval-false-positives,eval-miss-rate,eval-precision,eval-recall,eval-selectivity,eval-true-negatives,eval-true-positives,test-accuracy,test-balanced-accuracy,test-fall-out,test-false-negatives,test-false-positives,test-miss-rate,test-precision,test-recall,test-selectivity,test-true-negatives,test-true-positives
2024-04-15 20:37:51,2.1min,6cbca6eb86354b00aa1d9f15af800230,local-training-5-5,,,unknown,FINISHED,5,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.82829,0.63017,0.03897,14056,3115,0.7007,0.65841,0.2993,0.96103,76825,6004,0.82785,0.62832,0.04029,5595,1291,0.70307,0.64669,0.29693,0.95971,30751,2363
2024-04-15 20:37:51,2.1min,fcfc5ab3487e445f8fe71c8203fdb517,local-training-5-5,,,unknown,FINISHED,5,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.82849,0.62649,0.03981,13956,3195,0.70721,0.64393,0.29279,0.96019,77071,5778,0.82632,0.62893,0.0412,5630,1317,0.70095,0.64587,0.29905,0.9588,30651,2402
2024-04-15 20:31:51,2.1min,6873b0aab9c14b78bf103b0830b37191,local-training-5-4,,,unknown,FINISHED,4,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.82982,0.62845,0.03526,14199,2819,0.70783,0.67523,0.29217,0.96474,77121,5861,0.82945,0.62644,0.03639,5656,1166,0.71073,0.66378,0.28927,0.96361,30876,2302
2024-04-15 20:31:51,2.1min,9095e77487b141b2978f71573f971d59,local-training-5-4,,,unknown,FINISHED,4,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.83105,0.62704,0.03593,14011,2884,0.70999,0.66492,0.29001,0.96407,77382,5723,0.82873,0.62926,0.03741,5655,1196,0.70406,0.66527,0.29594,0.96259,30772,2377
2024-04-15 20:25:51,2.1min,2228d6cffea64190bdcf2216ba111252,local-training-5-3,,,unknown,FINISHED,3,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.83162,0.62654,0.03097,14362,2476,0.71595,0.69709,0.28405,0.96903,77464,5698,0.8314,0.62492,0.03215,5714,1030,0.71802,0.6854,0.28198,0.96785,31012,2244
2024-04-15 20:25:51,2.2min,28f8440d004946a09f67fe38643643e0,local-training-5-3,,,unknown,FINISHED,3,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.83251,0.62378,0.0314,14229,2520,0.72104,0.68598,0.27896,0.9686,77746,5505,0.83085,0.62677,0.03219,5737,1029,0.71427,0.69043,0.28573,0.96781,30939,2295
2024-04-15 20:20:51,1.8min,e7bd542c0b434d448b04a9486ead9fb5,local-training-5-2,,,unknown,FINISHED,2,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.83551,0.62738,0.02504,14447,2002,0.72019,0.7371,0.27981,0.97496,77938,5613,0.83475,0.62498,0.02662,5757,853,0.72342,0.72069,0.27658,0.97338,31189,2201
2024-04-15 20:19:51,1.8min,a01241beafb24802a3c90d06cc88c8a1,local-training-5-2,,,unknown,FINISHED,2,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.83658,0.62494,0.02543,14301,2041,0.72469,0.72692,0.27531,0.97457,78225,5433,0.83493,0.62774,0.02603,5771,832,0.7185,0.73101,0.2815,0.97397,31136,2261
2024-04-15 20:14:51,1.9min,5f8551357a21499c9d6ad6a930f247d2,local-training-5-1,,,unknown,FINISHED,1,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.83567,0.6166,0.01755,15030,1403,0.74925,0.78191,0.25075,0.98245,78537,5030,0.83583,0.61564,0.01866,5969,598,0.75006,0.76884,0.24994,0.98134,31444,1989
2024-04-15 20:13:51,2.0min,e920a6497dc241ec859d8e0adff73409,local-training-5-1,,,unknown,FINISHED,1,10,100000,64,5,6,0.2,SGD,0.2,['amount'],42,isFraud,40000,64,360000,72000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.83597,0.61166,0.01778,14976,1427,0.75889,0.76928,0.24111,0.98222,78839,4758,0.83422,0.61434,0.01821,6049,582,0.75311,0.7731,0.24689,0.98179,31386,1983
